matricula;tipus;dia_hora;durada;hora;dia_setmana;dia_setmana_dec
9566 JVI;1;2023-03-25 20:02:47;12916;20.0;5;5.8
9566 JVI;1;2023-02-04 21:04:07;15883;21.1;5;5.9
9566 JVI;1;2023-03-05 20:18:49;12772;20.3;6;6.8
9566 JVI;1;2023-07-08 20:57:49;7750;21.0;5;5.9
9566 JVI;1;2023-10-07 22:54:08;11806;22.9;5;6.0
9566 JVI;1;2023-10-01 21:37:12;6953;21.6;6;6.9
9566 JVI;1;2023-01-28 20:16:38;11102;20.3;5;5.8
9566 JVI;1;2023-12-31 20:24:55;12967;20.4;6;6.8
9566 JVI;1;2023-04-23 21:26:18;7983;21.4;6;6.9
9566 JVI;1;2023-01-15 21:11:34;10814;21.2;6;6.9
9566 JVI;1;2023-01-21 20:50:09;6664;20.8;5;5.9
9566 JVI;1;2023-02-19 20:09:52;11557;20.2;6;6.8
9566 JVI;1;2023-03-11 22:00:50;7307;22.0;5;5.9
9566 JVI;1;2023-06-17 22:13:01;11457;22.2;5;5.9
9566 JVI;1;2023-06-25 19:43:48;11964;19.7;6;6.8
9566 JVI;1;2023-04-29 21:53:08;11751;21.9;5;5.9
9566 JVI;1;2023-08-12 23:19:08;11911;23.3;5;6.0
9566 JVI;1;2023-07-30 21:53:33;10839;21.9;6;6.9
9566 JVI;1;2023-10-28 21:58:48;2175;22.0;5;5.9
9566 JVI;1;2023-09-09 20:08:32;9488;20.1;5;5.8
9566 JVI;1;2023-09-10 21:30:14;11477;21.5;6;6.9
9566 JVI;1;2023-07-29 22:05:06;12084;22.1;5;5.9
9566 JVI;1;2023-07-15 21:12:26;10277;21.2;5;5.9
9566 JVI;1;2023-09-24 21:09:50;13786;21.2;6;6.9
9566 JVI;1;2023-11-19 21:45:19;13966;21.8;6;6.9
9566 JVI;1;2023-08-06 20:45:36;8297;20.8;6;6.9
7245 EOY;1;2023-04-29 20:31:42;12058;20.5;5;5.9
7245 EOY;1;2023-11-11 22:36:41;11661;22.6;5;5.9
7245 EOY;1;2023-01-28 21:29:06;4829;21.5;5;5.9
7245 EOY;1;2023-02-11 23:40:47;6827;23.7;5;6.0
7245 EOY;1;2023-11-04 22:49:04;8798;22.8;5;6.0
7245 EOY;1;2023-12-24 21:57:27;13734;22.0;6;6.9
7245 EOY;1;2023-01-22 21:03:51;10200;21.1;6;6.9
7245 EOY;1;2023-08-05 20:03:33;10607;20.1;5;5.8
7245 EOY;1;2023-08-12 22:06:04;12139;22.1;5;5.9
7245 EOY;1;2023-06-04 20:06:59;14968;20.1;6;6.8
7245 EOY;1;2023-10-14 19:47:46;11555;19.8;5;5.8
7245 EOY;1;2023-03-19 20:06:31;7982;20.1;6;6.8
7245 EOY;1;2023-03-05 22:04:47;9133;22.1;6;6.9
7245 EOY;1;2023-05-27 19:29:05;8860;19.5;5;5.8
7245 EOY;1;2023-06-10 21:45:23;8174;21.8;5;5.9
7245 EOY;1;2023-08-06 22:12:53;14429;22.2;6;6.9
7245 EOY;1;2023-05-06 21:04:23;15025;21.1;5;5.9
7245 EOY;1;2023-10-28 22:51:46;3658;22.9;5;6.0
7245 EOY;1;2023-02-12 22:09:24;12993;22.2;6;6.9
7245 EOY;1;2023-02-04 20:40:36;13190;20.7;5;5.9
7245 EOY;1;2023-10-15 21:23:48;8725;21.4;6;6.9
7245 EOY;1;2023-04-15 22:29:17;11304;22.5;5;5.9
7245 EOY;1;2023-12-30 22:11:17;9915;22.2;5;5.9
7245 EOY;1;2023-06-11 19:21:51;11681;19.4;6;6.8
7245 EOY;1;2023-04-23 20:45:53;6261;20.8;6;6.9
7245 EOY;1;2023-11-05 19:18:28;13019;19.3;6;6.8
7245 EOY;1;2023-12-31 22:16:10;15830;22.3;6;6.9
7245 EOY;1;2023-07-01 21:32:03;10814;21.5;5;5.9
7245 EOY;1;2023-12-10 21:11:21;10961;21.2;6;6.9
7245 EOY;1;2023-05-14 21:47:40;9024;21.8;6;6.9
7245 EOY;1;2023-06-03 19:44:18;10010;19.7;5;5.8
7245 EOY;1;2023-07-30 21:11:50;9880;21.2;6;6.9
7245 EOY;1;2023-07-16 21:01:32;18723;21.0;6;6.9
7245 EOY;1;2023-10-07 21:53:03;5807;21.9;5;5.9
7245 EOY;1;2023-07-02 21:39:13;2964;21.7;6;6.9
7245 EOY;1;2023-02-25 21:37:08;12518;21.6;5;5.9
7245 EOY;1;2023-09-09 21:01:33;7309;21.0;5;5.9
7245 EOY;1;2023-02-26 20:00:58;12285;20.0;6;6.8
7245 EOY;1;2023-10-22 20:23:08;13813;20.4;6;6.8
7245 EOY;1;2023-07-23 20:22:34;9492;20.4;6;6.8
7245 EOY;1;2023-06-24 21:45:34;10677;21.8;5;5.9
7245 EOY;1;2023-11-25 20:50:00;11770;20.8;5;5.9
7245 EOY;1;2023-03-04 21:22:31;10497;21.4;5;5.9
3796 BSA;1;2023-08-13 21:13:34;10382;21.2;6;6.9
3796 BSA;1;2023-01-22 21:24:41;11836;21.4;6;6.9
3796 BSA;1;2023-05-14 21:30:15;13695;21.5;6;6.9
3796 BSA;1;2023-09-09 19:58:09;5912;20.0;5;5.8
3796 BSA;1;2023-02-25 20:44:00;10183;20.7;5;5.9
3796 BSA;1;2023-05-27 21:27:44;6408;21.5;5;5.9
3796 BSA;1;2023-06-17 21:11:33;12367;21.2;5;5.9
3796 BSA;1;2023-10-22 19:21:54;12365;19.4;6;6.8
3796 BSA;1;2023-01-21 22:23:52;11248;22.4;5;5.9
3796 BSA;1;2023-11-25 20:06:30;8723;20.1;5;5.8
3796 BSA;1;2023-02-18 20:55:30;8921;20.9;5;5.9
3796 BSA;1;2023-01-15 17:47:44;16065;17.8;6;6.7
3796 BSA;1;2023-03-18 20:31:59;10155;20.5;5;5.9
3796 BSA;1;2023-05-20 21:55:29;11646;21.9;5;5.9
3796 BSA;1;2023-03-12 20:30:41;10465;20.5;6;6.9
3796 BSA;1;2023-07-23 21:32:07;12783;21.5;6;6.9
3796 BSA;1;2023-12-17 20:48:30;13660;20.8;6;6.9
3796 BSA;1;2023-01-14 21:47:06;9044;21.8;5;5.9
3796 BSA;1;2023-07-08 19:59:38;11979;20.0;5;5.8
3796 BSA;1;2023-08-19 21:34:44;9144;21.6;5;5.9
3796 BSA;1;2023-06-11 20:33:51;12730;20.6;6;6.9
3796 BSA;1;2023-08-12 21:09:25;15691;21.2;5;5.9
3796 BSA;1;2023-01-28 21:30:55;19382;21.5;5;5.9
3796 BSA;1;2023-02-19 21:31:45;7573;21.5;6;6.9
3796 BSA;1;2023-09-03 20:48:07;10456;20.8;6;6.9
3796 BSA;1;2023-12-24 19:19:10;13236;19.3;6;6.8
3234 RLY;1;2023-11-12 21:03:38;10717;21.1;6;6.9
3234 RLY;1;2023-02-18 20:26:48;6817;20.4;5;5.8
3234 RLY;1;2023-05-06 20:46:58;7648;20.8;5;5.9
3234 RLY;1;2023-04-22 21:00:38;7537;21.0;5;5.9
3234 RLY;1;2023-03-12 19:35:03;11140;19.6;6;6.8
3234 RLY;1;2023-07-01 21:11:37;12755;21.2;5;5.9
3234 RLY;1;2023-03-11 21:03:22;16076;21.1;5;5.9
3234 RLY;1;2023-04-15 20:21:50;14794;20.4;5;5.8
3234 RLY;1;2023-08-26 20:00:26;8343;20.0;5;5.8
3234 RLY;1;2023-03-26 20:35:26;9909;20.6;6;6.9
3234 RLY;1;2023-07-22 22:31:40;8462;22.5;5;5.9
3234 RLY;1;2023-02-12 19:43:51;13517;19.7;6;6.8
3234 RLY;1;2023-06-10 20:58:33;5192;21.0;5;5.9
3234 RLY;1;2023-06-11 21:20:46;14192;21.3;6;6.9
3234 RLY;1;2023-05-13 20:36:52;16416;20.6;5;5.9
3234 RLY;1;2023-07-15 22:32:42;8309;22.5;5;5.9
3234 RLY;1;2023-06-24 21:51:52;3247;21.9;5;5.9
3234 RLY;1;2023-03-04 21:10:13;8071;21.2;5;5.9
3234 RLY;1;2023-08-20 21:58:04;7651;22.0;6;6.9
3234 RLY;1;2023-01-01 22:01:40;7909;22.0;6;6.9
3234 RLY;1;2023-12-31 20:34:18;8080;20.6;6;6.9
3234 RLY;1;2023-06-17 21:13:13;5856;21.2;5;5.9
3234 RLY;1;2023-01-08 21:38:48;8375;21.6;6;6.9
3234 RLY;1;2023-01-28 23:14:30;9912;23.2;5;6.0
3234 RLY;1;2023-09-30 20:14:11;12530;20.2;5;5.8
3234 RLY;1;2023-11-25 20:10:05;12935;20.2;5;5.8
3234 RLY;1;2023-01-14 20:33:04;12555;20.6;5;5.9
3234 RLY;1;2023-04-09 21:03:22;12764;21.1;6;6.9
3234 RLY;1;2023-07-29 20:19:00;8427;20.3;5;5.8
3234 RLY;1;2023-03-25 22:26:21;19375;22.4;5;5.9
3234 RLY;1;2023-01-07 21:55:16;8737;21.9;5;5.9
3234 RLY;1;2023-04-08 22:16:30;9616;22.3;5;5.9
3234 RLY;1;2023-10-07 20:51:13;14610;20.9;5;5.9
3234 RLY;1;2023-10-15 20:53:20;10660;20.9;6;6.9
3587 NPC;1;2023-08-19 20:40:39;8403;20.7;5;5.9
3587 NPC;1;2023-08-05 20:17:43;9526;20.3;5;5.8
3587 NPC;1;2023-07-02 21:09:06;9704;21.2;6;6.9
3587 NPC;1;2023-06-17 19:49:16;10263;19.8;5;5.8
3587 NPC;1;2023-07-08 20:46:29;11052;20.8;5;5.9
3587 NPC;1;2023-09-02 21:27:07;11858;21.5;5;5.9
3587 NPC;1;2023-02-11 20:10:20;7817;20.2;5;5.8
3587 NPC;1;2023-07-30 20:30:26;8094;20.5;6;6.9
3587 NPC;1;2023-03-12 19:24:41;9112;19.4;6;6.8
3587 NPC;1;2023-03-05 19:34:07;6251;19.6;6;6.8
3587 NPC;1;2023-07-15 19:45:35;7008;19.8;5;5.8
3587 NPC;1;2023-05-20 19:52:04;7520;19.9;5;5.8
3587 NPC;1;2023-01-07 20:44:23;13732;20.7;5;5.9
3587 NPC;1;2023-01-01 19:39:09;14614;19.7;6;6.8
3587 NPC;1;2023-10-08 21:31:28;12720;21.5;6;6.9
3587 NPC;1;2023-08-06 20:44:47;11491;20.7;6;6.9
3587 NPC;1;2023-12-17 21:33:46;13058;21.6;6;6.9
3587 NPC;1;2023-08-13 20:39:36;13453;20.7;6;6.9
3587 NPC;1;2023-12-31 22:12:10;14294;22.2;6;6.9
3587 NPC;1;2023-02-05 21:42:13;8622;21.7;6;6.9
3587 NPC;1;2023-01-29 21:00:16;11329;21.0;6;6.9
3587 NPC;1;2023-12-16 20:32:14;11586;20.5;5;5.9
3587 NPC;1;2023-12-30 21:10:07;10620;21.2;5;5.9
3587 NPC;1;2023-06-24 20:51:00;10672;20.9;5;5.9
3587 NPC;1;2023-07-23 21:02:01;9480;21.0;6;6.9
3587 NPC;1;2023-09-16 20:34:32;10616;20.6;5;5.9
3587 NPC;1;2023-04-23 19:52:34;4113;19.9;6;6.8
3587 NPC;1;2023-11-18 20:47:00;6554;20.8;5;5.9
3587 NPC;1;2023-07-01 22:38:41;13404;22.6;5;5.9
3587 NPC;1;2023-03-11 22:14:53;13437;22.2;5;5.9
3587 NPC;1;2023-11-25 20:40:44;12603;20.7;5;5.9
3587 NPC;1;2023-12-03 21:31:11;5839;21.5;6;6.9
9582 HNH;1;2023-01-15 21:47:04;7573;21.8;6;6.9
9582 HNH;1;2023-12-23 19:49:17;13468;19.8;5;5.8
9582 HNH;1;2023-01-29 20:25:37;7340;20.4;6;6.8
9582 HNH;1;2023-11-18 22:11:16;4441;22.2;5;5.9
9582 HNH;1;2023-07-01 20:13:46;14847;20.2;5;5.8
9582 HNH;1;2023-09-30 23:40:18;11032;23.7;5;6.0
9582 HNH;1;2023-12-30 21:54:48;7210;21.9;5;5.9
9582 HNH;1;2023-06-17 23:04:30;8675;23.1;5;6.0
9582 HNH;1;2023-08-20 18:11:02;11194;18.2;6;6.8
9582 HNH;1;2023-03-19 21:08:33;7977;21.1;6;6.9
9582 HNH;1;2023-06-18 21:15:27;15526;21.3;6;6.9
9582 HNH;1;2023-02-11 19:39:03;12600;19.7;5;5.8
9582 HNH;1;2023-12-24 20:00:55;16149;20.0;6;6.8
9582 HNH;1;2023-04-15 21:34:14;8953;21.6;5;5.9
9582 HNH;1;2023-01-21 21:16:32;9398;21.3;5;5.9
9582 HNH;1;2023-10-08 21:38:54;10712;21.6;6;6.9
9582 HNH;1;2023-02-18 22:18:30;20385;22.3;5;5.9
9582 HNH;1;2023-02-25 21:20:33;13941;21.3;5;5.9
9582 HNH;1;2023-10-15 21:22:38;8976;21.4;6;6.9
9582 HNH;1;2023-01-14 21:28:58;14316;21.5;5;5.9
9582 HNH;1;2023-04-22 21:50:48;11363;21.8;5;5.9
9582 HNH;1;2023-04-08 20:50:43;17388;20.8;5;5.9
9582 HNH;1;2023-08-26 21:55:44;15777;21.9;5;5.9
9582 HNH;1;2023-08-19 20:20:51;15922;20.3;5;5.8
9582 HNH;1;2023-07-15 19:32:28;12519;19.5;5;5.8
9582 HNH;1;2023-07-23 21:01:45;11382;21.0;6;6.9
9582 HNH;1;2023-04-16 20:35:20;14151;20.6;6;6.9
9582 HNH;1;2023-07-30 21:32:17;11502;21.5;6;6.9
9582 HNH;1;2023-08-12 23:03:56;14551;23.1;5;6.0
9582 HNH;1;2023-03-11 21:10:59;10758;21.2;5;5.9
9582 HNH;1;2023-07-16 19:00:46;8493;19.0;6;6.8
9582 HNH;1;2023-11-25 20:31:06;7880;20.5;5;5.9
9582 HNH;1;2023-05-13 20:53:28;17354;20.9;5;5.9
9582 HNH;1;2023-01-22 21:30:50;9955;21.5;6;6.9
9582 HNH;1;2023-03-18 19:54:51;14226;19.9;5;5.8
9582 HNH;1;2023-01-08 20:46:10;17531;20.8;6;6.9
9582 HNH;1;2023-12-17 21:09:27;15961;21.2;6;6.9
9582 HNH;1;2023-11-05 21:28:21;11072;21.5;6;6.9
9582 HNH;1;2023-08-05 21:07:34;13052;21.1;5;5.9
9582 HNH;1;2023-01-01 20:58:23;5157;21.0;6;6.9
9582 HNH;1;2023-04-30 19:06:54;8216;19.1;6;6.8
9582 HNH;1;2023-09-09 20:10:55;11553;20.2;5;5.8
9582 HNH;1;2023-09-23 20:52:09;12574;20.9;5;5.9
9582 HNH;1;2023-06-24 20:46:38;12822;20.8;5;5.9
0074 TVC;1;2023-05-21 21:20:17;14773;21.3;6;6.9
0074 TVC;1;2023-03-26 20:05:58;3956;20.1;6;6.8
0074 TVC;1;2023-07-01 20:22:44;13422;20.4;5;5.8
0074 TVC;1;2023-11-12 20:20:29;9075;20.3;6;6.8
0074 TVC;1;2023-10-14 19:42:39;7292;19.7;5;5.8
0074 TVC;1;2023-12-30 20:48:21;4511;20.8;5;5.9
0074 TVC;1;2023-03-11 20:50:56;10864;20.8;5;5.9
0074 TVC;1;2023-01-21 20:48:06;11248;20.8;5;5.9
0074 TVC;1;2023-02-18 20:20:10;15413;20.3;5;5.8
0074 TVC;1;2023-04-08 21:47:32;7952;21.8;5;5.9
0074 TVC;1;2023-04-23 20:55:24;8408;20.9;6;6.9
0074 TVC;1;2023-06-17 22:16:18;10369;22.3;5;5.9
0074 TVC;1;2023-04-30 19:47:56;13846;19.8;6;6.8
0074 TVC;1;2023-02-25 21:36:40;10067;21.6;5;5.9
0074 TVC;1;2023-01-15 20:28:32;9293;20.5;6;6.9
0074 TVC;1;2023-10-07 20:56:17;6988;20.9;5;5.9
0074 TVC;1;2023-08-19 22:48:18;10533;22.8;5;6.0
0074 TVC;1;2023-09-30 23:12:17;9172;23.2;5;6.0
0074 TVC;1;2023-03-04 20:47:26;9739;20.8;5;5.9
0074 TVC;1;2023-07-29 21:54:23;14397;21.9;5;5.9
0074 TVC;1;2023-11-26 21:18:55;14896;21.3;6;6.9
0074 TVC;1;2023-06-04 22:09:29;14399;22.2;6;6.9
0074 TVC;1;2023-05-13 20:35:00;6682;20.6;5;5.9
0074 TVC;1;2023-11-04 19:22:24;5548;19.4;5;5.8
0074 TVC;1;2023-08-26 20:41:03;6159;20.7;5;5.9
0074 TVC;1;2023-01-28 20:53:29;16175;20.9;5;5.9
0074 TVC;1;2023-12-09 20:50:38;3990;20.8;5;5.9
0074 TVC;1;2023-12-31 21:50:25;9989;21.8;6;6.9
0074 TVC;1;2023-01-29 20:30:02;9824;20.5;6;6.9
0074 TVC;1;2023-12-24 19:40:28;10866;19.7;6;6.8
0074 TVC;1;2023-01-22 21:45:16;7110;21.8;6;6.9
8126 SLT;1;2023-12-16 21:34:11;12993;21.6;5;5.9
8126 SLT;1;2023-10-07 20:25:54;14433;20.4;5;5.8
8126 SLT;1;2023-12-24 19:50:28;12383;19.8;6;6.8
8126 SLT;1;2023-03-04 20:51:23;10503;20.9;5;5.9
8126 SLT;1;2023-02-11 21:23:18;11569;21.4;5;5.9
8126 SLT;1;2023-06-04 19:02:14;6131;19.0;6;6.8
8126 SLT;1;2023-08-26 19:55:09;9950;19.9;5;5.8
8126 SLT;1;2023-06-24 21:46:48;14611;21.8;5;5.9
8126 SLT;1;2023-09-23 21:40:18;11430;21.7;5;5.9
8126 SLT;1;2023-01-21 20:01:47;15052;20.0;5;5.8
8126 SLT;1;2023-02-26 21:06:21;6343;21.1;6;6.9
8126 SLT;1;2023-06-11 20:22:48;15185;20.4;6;6.8
8126 SLT;1;2023-07-09 22:26:02;7430;22.4;6;6.9
8126 SLT;1;2023-12-02 23:06:28;14082;23.1;5;6.0
8126 SLT;1;2023-05-21 21:34:05;6589;21.6;6;6.9
8126 SLT;1;2023-04-09 23:09:07;10608;23.2;6;7.0
8126 SLT;1;2023-05-13 20:14:53;9238;20.2;5;5.8
8126 SLT;1;2023-02-19 20:53:42;7234;20.9;6;6.9
8126 SLT;1;2023-12-10 21:36:50;10378;21.6;6;6.9
8126 SLT;1;2023-04-15 19:16:03;7654;19.3;5;5.8
8126 SLT;1;2023-06-18 19:51:55;7891;19.9;6;6.8
8126 SLT;1;2023-11-25 20:27:01;11474;20.5;5;5.9
8126 SLT;1;2023-04-16 20:42:19;10127;20.7;6;6.9
2117 FZG;1;2023-06-24 20:15:02;13272;20.3;5;5.8
2117 FZG;1;2023-10-21 20:43:22;17964;20.7;5;5.9
2117 FZG;1;2023-07-16 20:06:22;10652;20.1;6;6.8
2117 FZG;1;2023-12-02 22:18:00;6674;22.3;5;5.9
2117 FZG;1;2023-12-30 20:02:56;6783;20.0;5;5.8
2117 FZG;1;2023-04-09 20:52:12;9744;20.9;6;6.9
2117 FZG;1;2023-11-12 21:12:48;14824;21.2;6;6.9
2117 FZG;1;2023-02-25 19:50:36;9412;19.8;5;5.8
2117 FZG;1;2023-10-15 21:23:57;1758;21.4;6;6.9
2117 FZG;1;2023-06-03 20:28:24;9159;20.5;5;5.9
2117 FZG;1;2023-04-01 20:23:41;11822;20.4;5;5.8
2117 FZG;1;2023-04-23 22:05:49;8861;22.1;6;6.9
